"player_name","avg_age_in_career","avg_player_height","avg_player_weight","college","country","draft_year","draft_round","draft_number","total_gp","avg_pts","avg_reb","avg_ast","avg_net_rating","avg_oreb_pct","avg_dreb_pct","avg_usg_pct","avg_ts_pct","avg_ast_pct","modern_draft_round"
"Todd Day",29,198.12,85.275296,"Arkansas","USA","1992","1","8",175,9.89828571428571,2.87371428571429,1.212,2.875,0.04625,0.09325,0.215,0.4955,0.11325,"Round 1"
"Todd Fuller",24,210.82,115.66596,"North Carolina State","USA","1996","1","11",225,3.70711111111111,2.98133333333333,0.192,-4.2,0.099,0.1948,0.1936,0.4526,0.0272,"Round 1"
"Todd MacCulloch",25.5,213.36,121.33586,"Washington","Canada","1999","2","47",223,6.12152466367713,3.99686098654709,0.562331838565022,0.5,0.1105,0.1815,0.174,0.5685,0.047,"Round 2"
"Tom Chambers",38.5,208.28,99.79024,"Utah","USA","1981","1","8",13,1.93846153846154,1.26153846153846,0.276923076923077,-25.7,0.0215,0.168,0.1965,0.666,0.0385,"Round 1"
"Tom Gugliotta",31,208.28,110.374053333333,"North Carolina State","USA","1992","1","6",449,11.454565701559,6.29576837416481,2.30957683741648,-1.55555555555556,0.0766666666666667,0.180888888888889,0.193,0.482777777777778,0.128555555555556,"Round 1"
"Tom Hammonds",32,205.74,101.151016,"Georgia Tech","USA","1989","1","9",250,4.7408,3.6832,0.522,-0.56,0.0878,0.1522,0.1594,0.4812,0.0474,"Round 1"
"Tomas Satoransky",27.5,200.66,95.25432,"None","Czech Republic","2012","2","32",388,6.90618556701031,2.88221649484536,4.07474226804124,-1.15,0.0358333333333333,0.096,0.139833333333333,0.548333333333333,0.2515,"Round 2"
"Toney Douglas",27.5,187.6425,87.032965,"Florida State","USA","2009","1","29",394,7.64517766497462,2.19568527918782,2.24416243654822,0.175,0.029125,0.11125,0.193125,0.49575,0.190375,"Round 1"
"Toni Kukoc",32.5,210.82,106.1858872,"None","Croatia","1990","2","29",609,10.931855500821,4.09146141215107,3.60821018062397,2.71,0.0461,0.1387,0.2126,0.5207,0.2369,"Round 1"
"Tony Allen",29.5,193.04,96.615096,"Oklahoma State","USA","2004","1","25",820,8.12060975609756,3.51780487804878,1.30268292682927,3.54285714285714,0.0635714285714286,0.118071428571429,0.189714285714286,0.533071428571429,0.100428571428571,"Round 1"
"Tony Battie",28.7857142857143,210.82,108.86208,"Texas Tech","USA","1997","1","5",837,6.07598566308244,5.12449223416965,0.623058542413381,-1.94285714285714,0.0799285714285714,0.193714285714286,0.1445,0.5055,0.052,"Round 1"
"Tony Bobbitt",25,193.04,86.18248,"Cincinnati","USA","Undrafted","Undrafted","Undrafted",2,2.5,1.5,0,-4.2,0,0.167,0.195,0.5,0,"Undrafted"
"Tony Bradley",22.5,208.703333333333,112.490816,"North Carolina","USA","2017","1","28",179,4.42346368715084,4.07709497206704,0.511173184357542,-1.4,0.122,0.227,0.160166666666667,0.581666666666667,0.0555,"Round 1"
"Tony Delk",27.5,187.96,86.1371208,"Kentucky","USA","1996","1","16",545,9.09504587155963,2.47321100917431,1.88238532110092,-1.53,0.0338,0.0984,0.2113,0.4998,0.1561,"Round 1"
"Tony Dumas",24.5,198.12,86.18248,"Missouri-Kansas City","USA","1994","1","19",31,3.23870967741935,0.7,0.932258064516129,3.45,0.0215,0.0815,0.2005,0.464,0.1565,"Round 1"
"Tony Farmer",29,205.74,110.903244,"Nebraska","USA","Undrafted","Undrafted","Undrafted",101,5.28415841584158,3.25148514851485,0.786138613861386,-5.5,0.1015,0.142,0.1875,0.5095,0.07,"Undrafted"
"Tony Massenburg",33,205.74,113.398,"Maryland","USA","1990","2","43",496,5.74576612903226,4.17258064516129,0.333064516129032,-7.48888888888889,0.0937777777777778,0.186888888888889,0.180333333333333,0.512666666666667,0.0373333333333333,"Round 2"
"Tony Mitchell",23,200.66,102.284996,"Alabama","USA","Undrafted","Undrafted","Undrafted",24,1.125,1.0875,0.125,2.85,0.1705,0.0885,0.187,0.57,0.12,"Undrafted"
"Tony Mitchell",23,200.66,102.284996,"North Texas","USA","2013","2","37",24,1.125,1.0875,0.125,2.85,0.1705,0.0885,0.187,0.57,0.12,"Round 2"
"Tony Parker",28.5,187.96,82.553744,"None","France","2001","1","28",1254,15.5482456140351,2.71236044657097,5.62017543859649,7.11111111111111,0.0128888888888889,0.0851666666666667,0.2485,0.541055555555556,0.313444444444444,"Round 1"
"Tony Smith",30.6666666666667,191.346666666667,86.9384666666667,"Marquette","USA","1990","2","51",82,4.64268292682927,1.3,2.09512195121951,-9.26666666666667,0.04,0.0413333333333333,0.180666666666667,0.400666666666667,0.205666666666667,"Round 2"
"Tony Snell",26,199.813333333333,95.25432,"New Mexico","USA","2013","1","20",601,6.09950083194676,2.27271214642263,1.12412645590682,-0.388888888888889,0.0152222222222222,0.0955555555555556,0.119666666666667,0.57,0.0734444444444445,"Round 1"
"Tony Snell",26,199.813333333333,95.25432," ","USA","2013","1","20",601,6.09950083194676,2.27271214642263,1.12412645590682,-0.388888888888889,0.0152222222222222,0.0955555555555556,0.119666666666667,0.57,0.0734444444444445,"Round 1"
"Tony Wroten",21.5,198.12,93.326554,"Washington","USA","2012","1","25",145,11.0427586206897,2.52551724137931,2.99310344827586,-15.15,0.03375,0.097,0.27775,0.465,0.271,"Round 1"
"Tornike Shengelia",21.5,205.74,104.32616,"None","Georgia","2012","2","54",45,1.31111111111111,0.853333333333333,0.373333333333333,-4.15,0.0645,0.139,0.1575,0.4795,0.0955,"Round 2"
"Torraye Braggs",28.5,203.2,111.13004,"Xavier","USA","1998","2","57",22,2.12727272727273,2.31363636363636,0.340909090909091,-5.75,0.2625,0.227,0.183,0.4755,0.0415,"Round 2"
"Torrey Craig",29.5,200.236666666667,99.336648,"South Carolina Upstate","USA","Undrafted","Undrafted","Undrafted",379,6.01292875989446,4.00052770448549,1.07361477572559,-2.95,0.062,0.138666666666667,0.128,0.556,0.0705,"Undrafted"
"Toure' Murry",24.5,195.58,88.45044,"Wichita State","USA","Undrafted","Undrafted","Undrafted",56,2.56607142857143,0.8375,0.928571428571429,1.6,0.0535,0.0455,0.2425,0.4945,0.163,"Undrafted"
"Tracy McGrady",26,203.2,97.6734773333333,"None","USA","1997","1","9",938,19.5950959488273,5.61044776119403,4.43891257995736,0.613333333333333,0.0492,0.149333333333333,0.271733333333333,0.510266666666667,0.2446,"Round 1"
"Tracy Moore",31,193.04,90.7184,"Tulsa","USA","Undrafted","Undrafted","Undrafted",27,3.7,1,0.7,-7.7,0.056,0.068,0.208,0.502,0.147,"Undrafted"
"Tracy Murray",28.5,200.66,103.532374,"UCLA","USA","1992","1","18",409,8.93129584352078,2.56234718826406,0.790709046454768,-5.9125,0.046125,0.10575,0.209625,0.482,0.07,"Round 1"
"Trae Young",22,185.928,78.7435712,"Oklahoma","USA","2018","1","5",353,25.4617563739377,3.6929178470255,9.31473087818697,-0.48,0.0192,0.0868,0.3164,0.5798,0.419,"Round 1"
"Trajan Langdon",25,190.5,89.0552293333333,"Duke","USA","1999","1","11",119,5.46386554621849,1.37142857142857,1.26554621848739,5.43333333333333,0.0246666666666667,0.0866666666666667,0.175333333333333,0.546666666666667,0.148,"Round 1"
"Travis Best",28,180.34,82.8561386666667,"Georgia Tech","USA","1995","1","23",649,7.94514637904468,1.84406779661017,3.60046224961479,0.777777777777778,0.0181111111111111,0.0784444444444444,0.185777777777778,0.506777777777778,0.275,"Round 1"
"Travis Diener",26,185.42,79.3786,"Marquette","USA","2005","2","38",179,4.75642458100559,1.35083798882682,2.40111731843575,-8.5,0.012,0.0812,0.1406,0.4968,0.2164,"Round 2"
"Travis Hansen",26,198.12,92.98636,"Brigham Young","USA","2003","2","37",41,3,1.7,0.5,-0.9,0.068,0.09,0.139,0.433,0.059,"Round 2"
"Travis Knight",25,213.36,106.59412,"Connecticut","USA","1996","1","29",371,3.42345013477089,3.11401617250674,0.595687331536388,-1.3,0.101428571428571,0.180714285714286,0.149285714285714,0.437428571428571,0.0701428571428571,"Round 1"
"Travis Leslie",22,193.04,92.98636,"Georgia","USA","2011","2","47",10,1.4,0.9,0.5,-29.3,0.128,0.073,0.194,0.39,0.227,"Round 2"
"Travis Outlaw",24,205.509090909091,95.3367912727273,"None","USA","2003","1","23",622,8.47347266881029,3.18585209003215,0.830707395498392,-10,0.0506363636363636,0.130363636363636,0.205818181818182,0.491909090909091,0.0761818181818182,"Round 1"
"Travis Wear",25.5,208.28,102.0582,"UCLA","USA","Undrafted","Undrafted","Undrafted",68,4.025,2.125,0.7,-1.7,0.027,0.148,0.1655,0.474,0.0745,"Undrafted"
"Travis Williams",29.5,199.39,105.46014,"South Carolina State","USA","Undrafted","Undrafted","Undrafted",47,3.22765957446808,2.4,0.465957446808511,-13.45,0.1285,0.1755,0.1765,0.498,0.0825,"Undrafted"
"Trayvon Palmer",27,198.12,90.7184,"Chicago St.","USA","Undrafted","Undrafted","Undrafted",1,0,2,0,-33,0,0.133,0.053,0,0,"Undrafted"
"Tre Jones",22,185.42,83.91452,"Duke","USA","2020","2","41",174,7.95229885057471,2.40689655172414,4.16149425287356,-7.36666666666667,0.026,0.0836666666666667,0.166333333333333,0.541,0.271333333333333,"Round 2"
"Tre Mann",21.5,190.5,80.739376,"Florida","USA","2021","1","18",127,8.9755905511811,2.58346456692913,1.65826771653543,-4.65,0.019,0.1025,0.2065,0.4965,0.126,"Round 1"
"Tremaine Fowlkes",27.5,201.93,98.883056,"Fresno State","USA","1998","2","54",103,2.9126213592233,2.22718446601942,0.52621359223301,-2.55,0.087,0.1285,0.1585,0.4835,0.06125,"Round 2"
"Tremont Waters",23,177.8,79.3786,"Louisiana State","USA","2019","2","51",40,3.7075,0.92,2.145,-3.56666666666667,0.007,0.076,0.195333333333333,0.426333333333333,0.251333333333333,"Round 2"
"Tremont Waters",23,177.8,79.3786,"LSU","USA","2019","2","51",40,3.7075,0.92,2.145,-3.56666666666667,0.007,0.076,0.195333333333333,0.426333333333333,0.251333333333333,"Round 2"
"Trendon Watford",21.5,203.2,107.501304,"Louisiana State","USA","Undrafted","Undrafted","Undrafted",110,7.48727272727273,3.93090909090909,1.92545454545455,-12.5,0.0485,0.168,0.1635,0.6075,0.157,"Undrafted"
"Trent Forrest",24,193.04,95.25432,"Florida State","USA","Undrafted","Undrafted","Undrafted",113,2.99026548672566,1.62654867256637,1.7,-4.43333333333333,0.029,0.107,0.128,0.510666666666667,0.193,"Undrafted"
"Trenton Hassell",27,195.58,97.068688,"Austin Peay","USA","2001","2","29",644,5.81195652173913,2.84487577639752,1.76164596273292,-5.88888888888889,0.0396666666666667,0.0926666666666667,0.121888888888889,0.483666666666667,0.103444444444444,"Round 1"
"Trevelin Queen",25.5,198.12,86.18248,"New Mexico State","USA","Undrafted","Undrafted","Undrafted",17,3.76470588235294,1.92941176470588,0.605882352941177,7.4,0.0885,0.136,0.2065,0.478,0.0915,"Undrafted"
"Treveon Graham",24.5,196.215,100.810822,"Virginia Commonwealth","USA","Undrafted","Undrafted","Undrafted",180,4.195,2.21277777777778,0.783888888888889,-5.025,0.03575,0.09575,0.1215,0.51975,0.06775,"Undrafted"
"Treveon Graham",24.5,196.215,100.810822,"Va Commonwealth","USA","Undrafted","Undrafted","Undrafted",180,4.195,2.21277777777778,0.783888888888889,-5.025,0.03575,0.09575,0.1215,0.51975,0.06775,"Undrafted"
"Trevon Duval",20,187.96,85.728888,"None","USA","Undrafted","Undrafted","Undrafted",3,1.7,0.3,0.7,7.7,0,0.2,0.231,0.833,0.667,"Undrafted"
"Trevon Scott",25,203.2,102.0582,"Cincinnati","USA","Undrafted","Undrafted","Undrafted",2,3,1,0,19.4,0.071,0.083,0.207,0.5,0,"Undrafted"
"Trevor Ariza",28.1111111111111,203.2,96.2623022222222,"UCLA","USA","2004","2","43",1118,10.3827370304114,4.78765652951699,2.13345259391771,0.95,0.0417777777777778,0.147222222222222,0.161944444444444,0.531777777777778,0.108222222222222,"Round 2"
"Trevor Booker",26.5,203.2,105.970431,"Clemson","USA","2010","1","23",532,6.92067669172932,5.51315789473684,1.06390977443609,-3.7125,0.10575,0.19125,0.157,0.547875,0.081875,"Round 1"
"Trevor Hudgins",24,182.88,81.64656,"Northwest Missouri State","USA","Undrafted","Undrafted","Undrafted",5,1.8,0,0.6,7,0,0,0.177,0.436,0.176,"Undrafted"
"Trevor Keels",19,193.04,100.243832,"Duke","USA","2022","2","42",3,1,0.7,0,-94.7,0,0.25,0.211,0.375,0,"Round 2"
"Trevor Winter",25,213.36,124.7378,"Minnesota","USA","Undrafted","Undrafted","Undrafted",1,0,3,0,-21.3,0.1,0.5,0,0,0,"Undrafted"
"Trey Burke",25,184.573333333333,84.5697084444444,"Michigan","USA","2013","1","9",498,9.62409638554217,1.7781124497992,3.05883534136546,-2.45555555555556,0.0166666666666667,0.0702222222222222,0.226444444444444,0.513444444444444,0.232888888888889,"Round 1"
"Trey Gilder",25,205.74,92.98636,"Northwestern State","USA","Undrafted","Undrafted","Undrafted",2,1,0.5,0,22.4,0,0.167,0.087,1,0,"Undrafted"
"Trey Johnson",25.6666666666667,195.58,98.429464,"Jackson State","USA","Undrafted","Undrafted","Undrafted",23,2.57826086956522,0.891304347826087,0.678260869565217,-16.0333333333333,0.028,0.112666666666667,0.206,0.466333333333333,0.103666666666667,"Undrafted"
"Trey Lyles",23.5,207.01,106.140528,"Kentucky","USA","2015","1","12",523,7.76864244741874,4.30975143403442,1.03996175908222,-2.5375,0.04475,0.19775,0.18425,0.54975,0.08575,"Round 1"
"Trey Lyles",23.5,207.01,106.140528,"Kentucky","Canada","2015","1","12",523,7.76864244741874,4.30975143403442,1.03996175908222,-2.5375,0.04475,0.19775,0.18425,0.54975,0.08575,"Round 1"
